OBJECT_TYPE;OBJECT_NAME;PACKAGE;USED;EXEC_COUNT;USER_COUNT;LAST_USED;FIRST_USED
PROG;ZFI_RGGBS000;ZFICO;X;2450118;42;20260706;20240701
PROG;ZFI_RGGBR000;ZFICO;X;2449902;42;20260706;20240701
FUNC;ZFI_PROCESS_00001120;ZFICO;X;2450120;38;20260706;20240701
FUNC;ZFI_PROCESS_00002040;ZFICO;X;880344;25;20260705;20240701
FUNC;ZFI_PROCESS_00002050;ZFICO;X;12004;19;20260630;20240703
CLAS;ZFICO_FUNCTIONS;ZFICO;X;45220;31;20260610;20240702
TRAN;Y_BS1_59000002;ZFICO;X;312;14;20260410;20240715
PROG;ZCREATE_ASSET;ZFICO;X;240;7;20251215;20240808
PROG;ZFI_FIELDSTATUS_ANALYZE;ZFICO;X;42;5;20251120;20241002
TRAN;Y_BS1_59000003;ZFICO;X;4;2;20250115;20240920
PROG;ZFICO_BTC_CSV_GL;ZFICO_BTC;X;6;1;20240902;20240711
